,Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB,Date
1906,66,DePaul,BE,1,0–1 0–1,99.8 80,100.5 52,.4819 66,38.1 129,45.9 39,16.3 66,16.3 69,31.8 46,33.3 95,37.3 36,32.8 84,35.7 129,48.7 56,29.4 93,27.3 35,28.8 109,36.1 70,67.6 66,-0.7 87,2022-02-17
1907,72,Washington,P12,1,0–1 0–1,102.2 76,105.7 73,.4050 72,41.7 115,54.8 92,19.7 96,21.1 30,36.6 28,40.0 121,41.7 23,27.4 59,36.4 127,52.4 84,37.5 51,40.0 94,26.7 120,32.3 44,72.0 12,-0.40 74,2022-02-17
1908,74,Washington St.,P12,1,0–1 0–1,93.4 101,96.8 35,.3971 74,34.9 134,61.1 118,13.2 25,23.5 19,16.2 117,33.3 95,49.1 12,29.6 71,34.8 131,52.9 91,23.3 118,50.0 120,56.6 3,37.0 74,69.8 32,-0.16 71,2022-02-17
1909,106,Oregon,P12,1,0–1 0–1,103.6 71,119.9 118,.1569 106,39.1 125,65.7 131,18.4 82,18.4 53,25.0 83,34.5 102,34.5 45,33.3 86,48.3 83,64.7 122,19.2 130,45.0 113,47.3 16,37.0 74,65.2 98,-0.49 77,2022-02-17
1910,122,Minnesota,B10,1,0–1 0–1,82.1 131,102.7 63,.0704 122,38.7 126,60.6 114,12.9 22,16.1 72,10.8 131,12.0 7,20.8 107,11.5 5,29.4 133,55.3 104,36.8 59,50.0 120,35.8 68,26.9 18,67.3 70,-0.5 79,2022-02-17
1911,2,St. John's,BE,1,1–0 1–0,120.2 3,86.0 5,.9792 2,71.1 1,41.4 7,21.7 22,19.0 16,27.8 14,21.1 7,19.3 24,36.2 23,68.6 1,35.3 4,50.0 3,33.3 19,38.6 17,41.4 19,77.4 1,+0.16 6,2022-02-18
1912,4,Mississippi St.,SEC,1,1–0 1–0,108.4 12,84.6 4,.9453 4,51.9 11,34.3 2,14.7 10,21.3 13,32.3 9,27.8 18,34.0 11,31.4 19,56.1 8,38.2 7,25.0 22,17.6 1,22.6 32,33.3 10,62.4 28,+0.12 9,2022-02-18
1913,6,Maryland,B10,1,1–0 1–0,127.2 1,102.0 20,.9273 6,55.9 7,44.5 13,5.7 1,17.0 20,25.8 17,30.6 22,55.9 6,56.4 28,67.5 2,44.7 11,21.1 28,29.4 15,32.2 24,30.9 8,66.5 14,+0.40 1,2022-02-18
1914,21,Nebraska,B10,1,0–1 0–1,109.3 10,118.6 30,.2800 21,44.5 20,55.9 26,17.0 13,5.7 32,30.6 11,25.8 16,56.4 5,55.9 27,44.7 21,67.5 31,29.4 17,21.1 5,30.9 25,32.2 9,71.1 5,-0.8 23,2022-02-18
1915,24,Missouri,SEC,1,0–1 0–1,90.4 24,101.5 19,.2084 24,34.3 31,51.9 22,21.3 20,14.7 23,27.8 14,32.3 24,31.4 13,34.0 22,38.2 26,56.1 25,17.6 32,25.0 10,33.3 23,22.6 1,62.6 27,-0.40 19,2022-02-18
1916,26,Butler,BE,1,0–1 0–1,91.0 23,106.5 23,.1403 26,41.4 25,71.1 32,19.0 17,21.7 11,21.1 25,27.8 18,36.2 10,19.3 9,35.3 29,68.6 32,33.3 12,50.0 28,41.4 14,38.6 16,67.2 11,-0.37 17,2022-02-18
1917,4,Iowa St.,B12,1,1–0 1–0,134.7 4,93.2 66,.9859 4,75.5 1,54.7 196,19.2 185,27.9 5,22.2 202,26.1 146,6.1 287,20.9 61,73.5 2,61.5 245,53.3 13,29.4 91,30.6 212,39.5 180,59.1 282,+0.42 16,2022-02-19
1918,5,UCLA,P12,1,1–0 1–0,116.1 47,81.1 14,.9842 5,55.6 80,37.5 13,10.8 18,21.6 64,31.4 84,23.5 99,17.5 251,28.8 120,48.8 166,42.9 56,45.5 35,17.6 14,34.9 168,32.7 94,62.4 267,+0.18 47,2022-02-19
1919,6,Baylor,B12,1,1–0 1–0,118.2 36,83.8 18,.9811 6,49.0 169,45.2 72,16.1 108,21.9 60,25.0 155,38.9 262,56.9 18,17.7 40,55.0 98,49.0 124,18.2 265,18.2 19,21.6 279,17.7 2,69.8 88,+0.43 15,2022-02-19
1920,7,North Carolina,ACC,1,1–0 1–0,106.0 122,75.2 3,.9811 7,53.1 108,41.4 33,22.6 240,13.5 231,18.5 239,21.4 74,30.6 149,9.4 8,51.9 136,50.0 125,36.4 108,19.2 28,44.9 64,40.6 189,70.5 71,+0.8 2,2022-02-19
1921,9,Minnesota,B10,1,1–0 1–0,120.4 23,85.7 27,.9804 9,66.3 6,43.2 49,22.2 232,13.3 234,19.2 231,22.0 81,23.1 213,30.5 136,62.1 38,39.5 34,47.8 24,33.3 135,44.2 70,35.6 129,67.0 170,+0.24 39,2022-02-19
1922,10,Arkansas,SEC,1,1–0 1–0,95.5 213,68.5 1,.9786 10,34.7 282,30.5 2,14.7 77,22.1 58,27.3 126,31.1 200,37.3 97,30.5 136,35.1 269,34.3 16,22.7 240,16.7 11,37.3 134,40.7 190,67.8 146,+0.7 7,2022-02-19
1923,11,Kansas,B12,1,1–0 1–0,114.6 57,82.2 15,.9784 11,51.0 135,34.6 6,22.6 240,7.5 285,37.9 32,26.9 157,42.3 69,22.1 67,53.7 111,26.3 1,27.3 211,30.0 102,21.2 280,44.1 216,65.5 202,+0.6 8,2022-02-19
1924,12,Syracuse,ACC,1,1–0 1–0,110.1 92,79.3 11,.9774 12,59.3 45,38.6 16,18.4 167,21.3 67,18.8 236,32.6 213,18.6 244,9.1 7,55.6 86,47.4 101,43.5 49,17.9 17,39.0 118,42.4 208,72.9 34,+0.17 49,2022-02-19
1925,14,Texas Tech,B12,1,1–0 1–0,104.3 132,76.5 5,.9725 14,39.4 267,35.0 8,24.5 255,21.4 65,45.9 7,36.4 243,55.8 19,28.3 116,42.1 236,26.5 2,21.4 250,30.8 115,26.9 237,43.3 214,69.1 109,+0.8 1,2022-02-19
1926,15,Illinois,B10,1,1–0 1–0,132.8 6,98.3 101,.9694 15,51.7 128,53.2 182,12.2 37,16.7 154,36.8 41,33.3 214,38.3 92,19.4 47,57.6 67,51.2 137,29.6 188,38.1 194,45.0 62,33.9 105,65.4 204,+0.7 6,2022-02-19
1927,16,Iowa,B10,1,1–0 1–0,123.1 18,92.6 63,.9637 16,46.9 192,49.0 119,13.0 48,22.8 43,51.3 3,37.5 253,32.8 126,42.9 224,48.8 166,55.3 193,28.6 201,18.2 19,32.8 191,22.4 13,63.4 251,+0.7 3,2022-02-19
1928,18,Connecticut,BE,1,1–0 1–0,110.3 87,84.1 19,.9576 18,53.8 102,42.5 42,26.5 277,11.8 255,36.7 43,18.4 49,40.4 82,20.0 50,50.0 153,41.9 49,42.9 51,29.4 91,26.9 237,28.3 58,66.4 178,+0.34 25,2022-02-19
1929,19,Arizona St.,P12,1,1–0 1–0,95.5 214,73.0 2,.9567 19,51.6 131,40.7 29,15.5 95,26.8 10,22.2 202,22.2 82,21.0 227,22.2 68,54.1 108,54.3 182,32.0 157,10.5 3,40.3 102,35.2 125,71.5 51,+0.07 85,2022-02-19
1930,21,Oregon,P12,1,0–1 0–1,124.2 16,96.9 87,.9457 21,52.2 120,62.9 266,15.0 84,17.8 134,29.7 99,22.6 88,16.2 254,32.8 156,52.4 130,57.1 217,34.6 129,47.8 263,38.2 126,39.7 183,68.0 138,-0.16 149,2022-02-19
1931,28,Duke,ACC,1,1–0 1–0,132.7 7,106.3 160,.9274 28,60.5 33,55.4 205,16.5 125,16.5 160,46.9 6,18.8 51,27.4 179,23.2 77,61.8 39,59.5 235,39.3 76,31.6 123,45.2 61,33.9 105,66.0 188,+0.20 45,2022-02-19
1932,29,Florida,SEC,1,1–0 1–0,110.2 89,89.4 44,.9178 29,46.2 203,45.0 69,17.1 143,26.5 11,23.5 186,38.7 259,36.5 99,40.0 203,33.3 274,41.7 46,40.0 69,35.7 171,48.1 39,28.0 56,61.6 272,+0.6 11,2022-02-19
1933,31,Colorado,P12,1,1–0 1–0,107.1 116,87.8 36,.9082 31,58.7 59,43.5 53,20.3 209,23.4 41,23.1 191,28.6 174,50.0 31,20.4 56,54.5 102,47.1 97,46.2 31,25.0 62,28.3 227,37.0 144,65.2 209,+0.39 20,2022-02-19
1934,32,Alabama,SEC,1,0–1 0–1,142.1 1,116.6 232,.9061 32,53.6 104,60.5 253,14.1 65,11.0 268,42.5 12,51.6 287,13.0 267,30.6 139,55.2 97,50.0 125,35.0 124,64.3 286,58.0 5,22.6 15,63.1 259,-0.17 151,2022-02-19
1935,33,Vanderbilt,SEC,1,1–0 1–0,101.0 162,83.2 17,.9027 33,49.1 161,43.8 56,26.0 272,26.0 16,25.0 155,29.7 186,54.7 21,41.1 212,58.8 60,48.6 108,21.1 251,23.8 58,35.8 155,37.5 156,77.6 6,+0.41 18,2022-02-19
1936,34,Virginia,ACC,1,1–0 1–0,117.2 40,96.7 85,.9015 34,53.9 100,46.3 87,16.6 130,9.1 280,26.7 134,28.2 172,49.0 38,13.4 24,57.1 68,44.0 69,31.3 167,35.3 166,31.4 209,25.4 42,65.5 202,+0.7 4,2022-02-19
1937,35,Louisville,ACC,1,1–0 1–0,110.4 84,91.3 55,.8986 35,52.6 118,50.9 147,12.4 38,18.7 115,23.5 186,20.0 61,24.6 200,6.9 3,64.3 29,45.7 87,27.6 210,39.1 209,50.9 24,39.7 183,65.0 213,+0.28 33,2022-02-19
1938,38,Kentucky,SEC,1,1–0 1–0,141.7 2,117.7 239,.8943 38,60.5 33,53.6 185,11.0 19,14.1 224,51.6 2,42.5 276,30.6 149,13.0 22,50.0 153,55.2 192,64.3 2,35.0 162,22.6 271,58.0 283,59.5 281,+0.41 17,2022-02-19
1939,43,Mississippi,SEC,1,1–0 1–0,119.7 29,101.6 123,.8689 43,63.6 19,51.0 152,10.7 17,19.8 89,23.1 191,25.9 143,18.6 244,42.0 218,63.2 32,52.5 160,42.9 51,30.0 102,35.6 158,20.0 6,64.1 237,+0.24 40,2022-02-19
1940,45,Notre Dame,ACC,1,0–1 0–1,115.5 53,98.3 102,.8634 45,60.8 29,45.7 78,20.9 217,15.4 195,6.9 286,39.0 264,27.5 177,22.9 72,50.0 153,43.4 65,45.2 41,35.3 166,60.8 3,24.3 32,68.3 131,-0.31 157,2022-02-19
1941,48,Texas,B12,1,0–1 0–1,100.8 164,86.4 30,.8551 48,35.0 281,39.4 21,21.4 223,24.5 32,36.4 45,45.9 282,28.3 172,55.8 270,26.5 287,42.1 52,30.8 172,21.4 39,43.3 75,26.9 50,66.2 182,-0.31 158,2022-02-19
1942,49,Utah,P12,1,1–0 1–0,100.0 172,85.8 29,.8535 49,41.8 253,42.4 38,18.2 163,21.2 69,20.0 222,20.0 61,30.9 146,45.7 237,48.8 166,50.0 125,14.3 283,18.8 26,25.5 246,34.8 119,69.1 109,+0.34 24,2022-02-19
1943,52,Wake Forest,ACC,1,1–0 1–0,112.6 65,97.2 89,.8446 52,45.7 210,60.8 259,15.4 91,20.9 71,39.0 24,6.9 3,22.9 217,27.5 111,43.4 224,50.0 125,35.3 119,45.2 248,24.3 257,60.8 286,73.5 31,+0.40 19,2022-02-19
1944,54,Georgia Tech,ACC,1,1–0 1–0,109.0 103,94.6 72,.8359 54,51.8 125,46.1 82,16.8 136,24.5 32,25.8 147,30.3 193,19.6 240,39.2 201,52.6 123,51.6 145,33.3 137,25.0 62,32.1 199,39.2 172,68.6 119,+0.23 42,2022-02-19
1945,55,Kansas St.,B12,1,0–1 0–1,128.5 12,111.9 205,.8297 55,45.0 219,60.2 251,12.5 41,18.0 128,35.6 49,26.7 151,28.6 170,50.0 254,31.6 280,59.4 233,40.6 67,40.9 223,45.7 57,40.7 190,63.4 251,-0.31 156,2022-02-19
1946,56,Oklahoma St.,B12,1,1–0 1–0,118.3 35,103.1 136,.8288 56,60.2 37,45.0 69,18.0 157,12.5 248,26.7 134,35.6 240,50.0 31,28.6 118,59.4 55,31.6 8,40.9 65,40.6 221,40.7 96,45.7 232,64.8 219,+0.31 30,2022-02-19
1947,61,Georgetown,BE,1,0–1 0–1,102.8 145,90.3 50,.8164 61,50.0 147,51.8 162,19.7 192,21.1 70,19.4 229,25.0 124,30.4 154,34.5 171,51.6 141,55.6 197,32.0 157,32.1 133,44.6 67,50.9 263,76.7 11,-0.16 148,2022-02-19
1948,63,Auburn,SEC,1,0–1 0–1,102.8 146,90.3 51,.8157 63,45.0 219,46.2 84,26.5 277,17.1 145,38.7 28,23.5 99,40.0 85,36.5 190,41.7 241,33.3 13,35.7 116,40.0 215,28.0 232,48.1 249,65.8 193,-0.39 163,2022-02-19
1949,65,South Carolina,SEC,1,1–0 1–0,116.4 46,102.4 131,.8123 65,58.8 56,49.2 129,27.4 281,20.6 75,25.9 144,42.5 276,43.1 63,34.9 176,75.0 1,51.2 137,29.6 188,30.0 102,52.9 16,31.7 83,71.3 54,+0.45 14,2022-02-19
1950,69,Seton Hall,BE,1,1–0 1–0,98.8 181,88.2 37,.7867 69,43.9 228,36.4 11,13.0 48,14.5 214,23.7 183,26.7 151,40.4 82,47.5 245,37.1 264,40.0 35,36.4 108,20.8 31,38.6 121,40.7 190,67.5 155,+0.19 46,2022-02-19
1951,73,LSU,SEC,1,0–1 0–1,115.5 50,104.2 146,.7671 73,49.2 156,58.8 231,20.6 214,27.4 8,42.5 12,25.9 143,34.9 113,43.1 226,51.2 148,75.0 288,30.0 181,29.6 98,31.7 205,52.9 273,69.4 103,-0.6 180,2022-02-19
1952,75,Villanova,BE,1,1–0 1–0,101.1 159,91.8 57,.7535 75,51.8 125,50.0 135,21.1 219,19.7 94,25.0 155,19.4 59,34.5 116,30.4 134,55.6 86,51.6 145,32.1 156,32.0 130,50.9 24,44.6 221,68.1 135,+0.10 69,2022-02-19
1953,79,Ohio St.,B10,1,0–1 0–1,110.0 93,100.1 112,.7456 79,49.0 169,46.9 94,22.8 245,13.0 237,37.5 33,51.3 286,42.9 64,32.8 156,55.3 93,48.8 117,18.2 265,28.6 83,22.4 275,32.8 97,59.1 282,-0.41 167,2022-02-19
1954,80,Tennessee,SEC,1,0–1 0–1,84.0 268,76.5 6,.7455 80,30.5 287,34.7 7,22.1 231,14.7 208,31.1 89,27.3 162,30.5 151,37.3 191,34.3 273,35.1 20,16.7 276,22.7 44,40.7 96,37.3 149,64.6 222,-0.25 153,2022-02-19
1955,82,Florida St.,ACC,1,0–1 0–1,116.5 45,106.4 162,.7400 82,55.4 82,60.5 253,16.5 125,16.5 160,18.8 236,46.9 283,23.2 210,27.4 110,59.5 52,61.8 248,31.6 162,39.3 213,33.9 181,45.2 228,66.4 178,-0.14 147,2022-02-19
1956,84,Arizona,P12,1,1–0 1–0,115.9 48,106.2 159,.7319 84,62.9 22,52.2 168,17.8 153,15.0 205,22.6 198,29.7 186,32.8 126,16.2 35,57.1 68,52.4 157,47.8 24,34.6 158,39.7 104,38.2 163,72.6 37,+0.28 34,2022-02-19
1957,86,Texas A&M,SEC,1,0–1 0–1,95.9 204,88.3 40,.7230 86,43.8 231,49.1 121,26.0 272,26.0 16,29.7 99,25.0 124,41.1 77,54.7 268,48.6 173,58.8 229,23.8 229,21.1 33,37.5 129,35.8 134,76.5 13,-0.40 165,2022-02-19
1958,89,Miami FL,ACC,1,0–1 0–1,115.4 54,106.9 170,.7087 89,46.3 200,53.9 188,9.1 9,16.6 157,28.2 117,26.7 151,13.4 265,49.0 250,44.0 219,57.1 217,35.3 119,31.3 119,25.4 247,31.4 80,74.8 21,-0.7 196,2022-02-19
1959,91,TCU,B12,1,0–1 0–1,99.7 174,92.4 62,.7056 91,45.2 215,49.0 119,21.9 229,16.1 178,38.9 26,25.0 124,17.7 249,56.9 271,49.0 165,55.0 190,18.2 265,18.2 19,17.7 287,21.6 10,68.1 135,-0.13 146,2022-02-19
1960,93,DePaul,BE,1,0–1 0–1,100.4 169,93.5 68,.6927 93,36.4 278,43.9 59,14.5 73,13.0 237,26.7 134,23.7 104,47.5 44,40.4 206,40.0 253,37.1 24,20.8 257,36.4 175,40.7 96,38.6 165,68.7 117,-0.40 164,2022-02-19
1961,99,West Virginia,B12,1,0–1 0–1,97.8 191,91.9 58,.6715 99,34.6 283,51.0 152,7.5 4,22.6 47,26.9 131,37.9 257,22.1 222,42.3 220,26.3 288,53.7 177,30.0 181,27.3 76,44.1 72,21.2 9,64.4 227,-0.28 154,2022-02-19
1962,102,Virginia Tech,ACC,1,0–1 0–1,93.0 232,88.2 38,.6478 102,41.4 256,53.1 177,13.5 58,22.6 47,21.4 212,18.5 50,9.4 281,30.6 139,50.0 153,51.9 151,19.2 261,36.4 175,40.6 100,44.9 225,63.7 246,-0.46 170,2022-02-19
1963,115,Michigan St.,B10,1,0–1 0–1,118.1 37,114.6 217,.5839 115,53.2 106,51.7 159,16.7 133,12.2 252,33.3 70,36.8 247,19.4 242,38.3 195,51.2 148,57.6 222,38.1 92,29.6 98,33.9 181,45.0 226,65.9 192,-0.5 175,2022-02-19
1964,116,Xavier,BE,1,0–1 0–1,97.2 196,94.7 73,.5764 116,42.5 247,53.8 186,11.8 34,26.5 11,18.4 240,36.7 245,20.0 238,40.4 206,41.9 238,50.0 125,29.4 192,42.9 231,28.3 227,26.9 50,70.0 84,-0.28 155,2022-02-19
1965,147,Clemson,ACC,1,0–1 0–1,101.6 155,105.3 151,.3996 147,50.9 138,52.6 171,18.7 173,12.4 249,20.0 222,23.5 99,6.9 286,24.6 86,45.7 199,64.3 260,39.1 77,27.6 79,39.7 104,50.9 263,64.2 234,-0.6 184,2022-02-19
1966,167,Stanford,P12,1,0–1 0–1,94.2 223,100.3 114,.3272 167,43.5 236,58.7 229,23.4 248,20.3 77,28.6 112,23.1 96,20.4 231,50.0 254,47.1 190,54.5 186,25.0 221,46.2 255,37.0 144,28.3 58,63.9 242,-0.8 211,2022-02-19
1967,170,Oklahoma,B12,1,0–1 0–1,116.5 44,124.6 266,.3164 170,54.7 92,75.5 288,27.9 283,19.2 103,26.1 141,22.2 82,20.9 228,6.1 2,61.5 43,73.5 287,29.4 192,53.3 275,39.5 109,30.6 77,58.1 285,-0.35 160,2022-02-19
1968,175,Washington,P12,1,0–1 0–1,91.7 237,98.7 104,.3027 175,37.5 276,55.6 208,21.6 225,10.8 271,23.5 186,31.4 203,28.8 166,17.5 38,42.9 228,48.8 117,17.6 273,45.5 249,32.7 193,34.9 121,66.4 178,-0.16 150,2022-02-19
1969,187,California,P12,1,0–1 0–1,84.0 269,91.2 54,.2794 187,42.4 248,41.8 36,21.2 220,18.2 124,20.0 222,20.0 61,45.7 52,30.9 142,50.0 153,48.8 117,18.8 262,14.3 5,34.8 169,25.5 43,66.8 174,-0.8 225,2022-02-19
1970,202,Georgia,SEC,1,0–1 0–1,109.7 97,122.9 255,.2128 202,51.0 135,63.6 270,19.8 196,10.7 272,25.9 144,23.1 96,42.0 71,18.6 44,52.5 128,63.2 257,30.0 181,42.9 231,20.0 283,35.6 129,67.3 158,-0.8 217,2022-02-19
1971,224,Pittsburgh,ACC,1,0–1 0–1,95.7 211,109.5 189,.1739 224,46.1 206,51.8 162,24.5 255,16.8 149,30.3 95,25.8 139,39.2 88,19.6 48,51.6 141,52.6 162,25.0 221,33.3 135,39.2 116,32.1 90,64.4 227,-0.9 235,2022-02-19
1972,229,Boston College,ACC,1,0–1 0–1,81.3 280,93.6 69,.1656 229,38.6 273,59.3 242,21.3 221,18.4 121,32.6 76,18.8 51,9.1 282,18.6 44,47.4 188,55.6 197,17.9 271,43.5 240,42.4 80,39.0 171,69.9 87,-0.36 161,2022-02-19
1973,263,Northwestern,B10,1,0–1 0–1,89.7 251,109.8 192,.0897 263,43.2 240,66.3 282,13.3 54,22.2 55,22.0 208,19.2 55,30.5 151,23.1 75,39.5 255,62.1 251,33.3 137,47.8 263,35.6 158,44.2 218,69.8 88,-0.6 182,2022-02-19
1974,267,Oregon St.,P12,1,0–1 0–1,83.5 272,103.8 140,.0758 267,40.7 259,51.6 157,26.8 279,15.5 193,22.2 202,22.2 82,22.2 219,21.0 62,54.3 104,54.1 181,10.5 286,32.0 130,35.2 162,40.3 187,70.8 62,-0.49 172,2022-02-19
1975,4,Wisconsin,B10,1,1–0 1–0,113.2 17,85.4 4,.9625 4,53.4 19,42.2 5,11.5 7,17.3 28,13.8 50,35.1 43,27.6 26,20.3 19,55.6 14,53.8 31,30.8 30,16.0 1,22.4 50,39.1 25,70.1 8,+0.44 4,2022-02-20
1976,7,Purdue,B10,1,1–0 1–0,140.2 2,109.2 33,.9464 7,61.2 7,55.7 36,11.0 6,17.3 28,29.2 31,28.6 18,59.2 3,32.1 27,66.7 4,57.9 38,36.4 20,33.3 25,44.9 15,28.3 9,65.5 25,+0.27 9,2022-02-20
1977,10,Butler,BE,1,0–1 0–1,117.7 10,99.3 17,.8763 10,52.9 20,49.2 23,12.4 9,9.3 47,20.7 45,30.0 24,40.4 13,40.0 37,51.3 26,45.7 14,38.5 15,36.0 30,25.0 46,41.7 31,59.1 47,-0.6 35,2022-02-20
1978,12,Marquette,BE,1,0–1 0–1,125.5 5,107.7 30,.8525 12,59.4 10,60.7 43,21.7 41,20.3 16,31.3 21,28.6 18,15.6 41,37.5 34,60.4 9,62.9 44,37.5 18,38.1 34,25.0 46,37.5 23,74.0 1,-0.38 29,2022-02-20
1979,15,Washington St.,P12,1,0–1 0–1,101.5 32,88.8 8,.8225 15,43.7 42,47.8 19,18.7 27,21.8 9,36.4 5,19.4 5,15.9 40,55.6 46,15.6 50,34.4 4,48.4 4,53.8 49,49.2 9,28.9 11,65.2 28,-0.40 31,2022-02-20
1980,16,USC,P12,1,1–0 1–0,103.6 26,90.7 10,.8215 16,47.8 32,43.7 9,21.8 42,18.7 24,19.4 46,36.4 46,55.6 5,15.9 11,34.4 47,15.6 1,53.8 2,48.4 46,28.9 40,49.2 42,65.2 28,+0.37 6,2022-02-20
1981,18,Creighton,BE,1,1–0 1–0,117.0 11,107.4 27,.7281 18,60.7 8,59.4 41,20.3 35,21.7 10,28.6 32,31.3 29,37.5 17,15.6 10,62.9 7,60.4 42,38.1 16,37.5 33,37.5 28,25.0 4,69.7 9,+0.28 8,2022-02-20
1982,19,Missouri,SEC,1,0–1 0–1,93.8 43,86.5 6,.7176 19,45.4 39,40.2 3,20.4 36,23.5 5,24.2 40,37.1 47,16.7 37,47.1 44,53.1 22,43.2 12,22.7 45,21.4 3,40.7 23,27.5 8,65.5 25,-0.7 36,2022-02-20
1983,20,Rutgers,B10,1,0–1 0–1,119.3 8,111.0 36,.6967 20,55.7 14,61.2 44,17.3 22,11.0 45,28.6 32,29.2 20,32.1 24,59.2 48,57.9 13,66.7 47,33.3 23,36.4 31,28.3 42,44.9 36,64.5 33,-0.17 26,2022-02-20
1984,22,Mississippi St.,SEC,1,1–0 1–0,92.4 44,87.8 7,.6417 22,40.2 48,45.4 12,23.5 46,20.4 15,37.1 4,24.2 11,47.1 7,16.7 14,43.2 39,53.1 29,21.4 48,22.7 5,27.5 43,40.7 26,65.2 28,+0.30 7,2022-02-20
1985,24,Michigan,B10,1,0–1 0–1,104.1 24,100.3 18,.6069 24,42.2 45,53.4 32,17.3 22,11.5 44,35.1 8,13.8 1,20.3 31,27.6 25,53.8 20,55.6 37,16.0 50,30.8 19,39.1 26,22.4 1,70.2 7,-0.32 28,2022-02-20
1986,26,Providence,BE,1,1–0 1–0,113.3 16,109.9 35,.5883 26,49.2 27,52.9 31,9.3 4,12.4 42,30.0 27,20.7 6,40.0 14,40.4 38,45.7 37,51.3 25,36.0 21,38.5 36,41.7 20,25.0 4,60.5 42,+0.39 5,2022-02-20
1987,1,Boston College,ACC,1,1–0 1–0,110.3 13,80.2 2,.9750 1,57.8 9,37.5 3,27.0 56,28.5 4,40.0 5,39.5 54,8.6 57,26.8 27,53.1 18,40.5 7,42.3 11,21.1 2,44.8 13,33.9 20,66.1 33,+0.20 8,2022-02-21
1988,3,UCLA,P12,1,1–0 1–0,115.6 6,86.9 7,.9638 3,45.3 44,44.5 16,17.7 26,20.9 20,33.3 13,23.5 22,37.7 19,7.3 1,45.5 43,47.2 25,30.0 39,26.3 13,37.7 32,34.5 22,62.1 56,+0.24 5,2022-02-21
1989,5,Ohio St.,B10,1,1–0 1–0,118.8 3,93.9 17,.9370 5,53.7 19,39.1 4,16.5 21,15.2 46,23.3 41,32.6 42,51.9 4,42.2 49,57.1 12,35.6 4,31.6 32,31.6 28,35.2 37,29.7 13,64.4 46,+0.42 2,2022-02-21
1990,6,TCU,B12,1,1–0 1–0,116.9 5,93.8 16,.9258 6,57.4 10,50.9 34,23.3 50,16.0 42,43.3 4,19.4 10,46.3 7,28.1 31,62.5 7,48.8 32,28.6 43,37.5 40,25.9 56,28.1 10,67.9 26,+0.32 4,2022-02-21
1991,8,Oklahoma St.,B12,1,0–1 0–1,99.4 36,80.3 3,.9202 8,46.8 38,43.4 13,23.7 51,16.7 39,33.3 13,30.2 34,19.4 44,11.8 7,51.3 22,41.0 10,26.1 49,31.0 25,37.1 33,42.6 44,63.4 54,-0.32 35,2022-02-21
1992,10,Baylor,B12,1,1–0 1–0,107.5 16,88.2 11,.9068 10,43.4 48,46.8 23,16.7 22,23.7 10,30.2 26,33.3 44,11.8 54,19.4 17,41.0 50,51.3 39,31.0 36,26.1 12,42.6 17,37.1 28,63.0 55,+0.7 1,2022-02-21
1993,12,Louisville,ACC,1,0–1 0–1,107.8 15,91.3 12,.8709 12,50.8 28,55.7 46,19.6 33,19.6 27,25.7 35,22.2 17,8.3 58,24.5 21,62.5 7,67.9 60,25.0 50,28.0 15,46.7 10,47.2 52,63.5 53,-0.21 32,2022-02-21
1994,13,Georgia Tech,ACC,1,0–1 0–1,101.5 28,87.0 8,.8557 13,46.2 41,39.7 5,19.0 30,5.4 60,32.6 18,26.9 29,25.8 37,30.1 33,43.6 44,34.1 2,33.3 28,31.3 26,40.9 24,43.8 46,65.0 42,-0.36 36,2022-02-21
1995,15,Maryland,B10,1,1–0 1–0,115.4 7,100.3 29,.8336 15,52.0 22,54.7 44,14.8 14,21.4 17,22.6 42,27.6 32,38.0 18,9.4 5,56.7 13,50.0 33,30.0 39,42.1 49,40.0 27,35.8 26,65.9 34,+0.21 7,2022-02-21
1996,16,Indiana,B10,1,0–1 0–1,102.7 25,94.3 18,.7278 16,39.1 57,53.7 41,15.2 15,16.5 40,32.6 18,23.3 20,42.2 12,51.9 57,35.6 57,57.1 49,31.6 32,31.6 28,29.7 48,35.2 24,66.5 31,-0.30 34,2022-02-21
1997,17,North Carolina,ACC,1,1–0 1–0,106.3 18,97.8 22,.7224 17,55.7 15,50.8 33,19.6 33,19.6 27,22.2 44,25.7 26,24.5 39,8.3 3,67.9 1,62.5 53,28.0 45,25.0 11,47.2 9,46.7 51,66.2 32,+0.16 9,2022-02-21
1998,19,West Virginia,B12,1,0–1 0–1,110.6 12,103.4 33,.6851 19,50.9 24,57.4 51,16.0 18,23.3 11,19.4 51,43.3 57,28.1 30,46.3 54,48.8 29,62.5 53,37.5 21,28.6 17,28.1 51,25.9 5,70.0 18,-0.29 33,2022-02-21
1999,23,Arizona St.,P12,1,0–1 0–1,94.8 44,91.8 13,.5918 23,44.5 45,45.3 17,20.9 39,17.7 34,23.5 38,33.3 44,7.3 60,37.7 42,47.2 33,45.5 18,26.3 48,30.0 21,34.5 39,37.7 29,63.9 49,-0.16 31,2022-02-21
2000,26,Penn St.,B10,1,0–1 0–1,105.0 19,102.4 31,.5720 26,54.7 17,52.0 39,21.4 44,14.8 47,27.6 29,22.6 19,9.4 56,38.0 43,50.0 23,56.7 48,42.1 12,30.0 21,35.8 35,40.0 34,61.1 60,-0.49 38,2022-02-21
